name,platform,release_date,score,user_score,developer,genre,critics,users
Star Hammer: The Vanguard Prophecy,PC,4-Jun-15,69.0,6.1,BlackLabGames,"Strategy,Turn-Based,Real-Time,Tactics",14.0,12.0
The Masterplan,PC,4-Jun-15,68.0,7.4,SharkPunch,"Action,Strategy,General",18.0,22.0
Steins;Gate,PlayStation3,5-Jun-15,83.0,8.6,Nitro+,"Adventure,General,Visual Novel",8.0,74.0
SteamWorld Dig,XboxOne,5-Jun-15,83.0,7.8,Image&Form,"Action,Action Adventure,General,Platformer,2D",8.0,19.0
D4: Dark Dreams Don't Die,PC,5-Jun-15,67.0,7,AccessGames,"Adventure,3D,Point-and-Click,Third-Person",14.0,82.0
The Elder Scrolls Online: Tamriel Unlimited,XboxOne,9-Jun-15,77.0,8.3,ZeniMaxMedia,"First-Person,First-Person,Massively Multiplayer Online,Fantasy,Role-Playing,Massively Multiplayer",11.0,627.0
The Elder Scrolls Online: Tamriel Unlimited,PlayStation4,9-Jun-15,74.0,7.6,ZeniMaxMedia,"First-Person,First-Person,Massively Multiplayer Online,Fantasy,Role-Playing,Massively Multiplayer",30.0,972.0
LEGO Jurassic World,PlayStation4,9-Jun-15,70.0,7.1,TTGames,"Action Adventure,General",46.0,107.0
LEGO Jurassic World,PC,11-Jun-15,72.0,7.5,TTGames,"Action Adventure,General",8.0,51.0
LEGO Jurassic World,XboxOne,12-Jun-15,70.0,6.8,TTGames,"Action Adventure,General",17.0,53.0
Payday 2: Crimewave Edition,PlayStation4,16-Jun-15,71.0,4.2,OverkillSoftware,"Action,Shooter,First-Person,General,Fantasy,Arcade",30.0,134.0
Payday 2: Crimewave Edition,XboxOne,16-Jun-15,65.0,3.7,OverkillSoftware,"Action,Shooter,First-Person,General,Fantasy,Arcade",17.0,97.0
Pro Cycling Manager Season 2015,PC,18-Jun-15,66.0,7.2,Cyanide,"Sports,Individual,Biking",7.0,6.0
Batman: Arkham Knight,PlayStation4,23-Jun-15,87.0,7.9,RocksteadyStudios,"General,Fantasy,Action Adventure,Open-World",89.0,3981.0
Final Fantasy XIV: Heavensward,PC,23-Jun-15,86.0,8.4,SquareEnix,"Massively Multiplayer Online,Fantasy,Role-Playing,Massively Multiplayer",14.0,430.0
Final Fantasy XIV: Heavensward,PlayStation4,23-Jun-15,86.0,8.3,SquareEnix,"Massively Multiplayer Online,Fantasy,Role-Playing,Massively Multiplayer",20.0,394.0
Batman: Arkham Knight,XboxOne,23-Jun-15,85.0,7,RocksteadyStudios,"General,Fantasy,Action Adventure,Open-World",16.0,871.0
Tales From The Borderlands: Episode 3 - Catch A Ride,PlayStation4,23-Jun-15,83.0,7.3,TelltaleGames,"Adventure,General",12.0,80.0
Tales From The Borderlands: Episode 3 - Catch A Ride,PC,23-Jun-15,81.0,8.4,TelltaleGames,"Adventure,General",24.0,135.0
PlanetSide 2,PlayStation4,23-Jun-15,78.0,7,"SonyOnlineEntertainment,DaybreakGames","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Tactical,Arcade",17.0,155.0
Devil May Cry 4: Special Edition,XboxOne,23-Jun-15,76.0,8.9,Capcom,"Fantasy,Action Adventure,General,Linear",31.0,168.0
Devil May Cry 4: Special Edition,PlayStation4,23-Jun-15,75.0,8.4,Capcom,"Fantasy,Action Adventure,General,Linear",28.0,390.0
Shantae: Risky's Revenge - Director's Cut,PlayStation4,23-Jun-15,74.0,7.4,WayForward,"Action,Platformer,2D",10.0,33.0
Devil May Cry 4: Special Edition,PC,23-Jun-15,72.0,8.8,Capcom,"Action Adventure,General,Linear",11.0,231.0
Batman: Arkham Knight,PC,23-Jun-15,70.0,3.5,"RocksteadyStudios,IronGalaxyStudios","Action Adventure,General,Fantasy,Open-World",14.0,2290.0
Her Story,PC,24-Jun-15,86.0,6.1,SamBarlow,"Adventure,Visual Novel",50.0,433.0
BlazBlue: Chrono Phantasma Extend,PlayStation4,30-Jun-15,80.0,7.6,ArcSystemWorks,"Action,Fighting,2D",10.0,53.0
RONIN,PC,30-Jun-15,70.0,7.6,TomaszWaclawek,"Strategy,Turn-Based,General",39.0,48.0
Rise of Incarnates,PC,1-Jul-15,67.0,7,BandaiNamcoGames,"Action,General",8.0,8.0
Anna's Quest,PC,2-Jul-15,74.0,6.9,KramsDesign,"Adventure,General,Point-and-Click",15.0,57.0
Legends of Eisenwald,PC,2-Jul-15,71.0,7.7,AterduxEntertainment,"General,Role-Playing,Strategy,Turn-Based,General,Tactics",17.0,78.0
Rocket League,PC,5-Jul-15,86.0,7.9,Psyonix,"Sports,Racing,Team,Soccer,Futuristic,Arcade",20.0,1110.0
Rocket League,PlayStation4,7-Jul-15,85.0,8.4,"Psyonix,PanicButton","Racing,Futuristic,Sports,Team,Soccer,Arcade",50.0,1746.0
Skullgirls: 2nd Encore,PlayStation4,7-Jul-15,82.0,7.3,LabZeroGames,"Action,Fighting,2D",18.0,50.0
Pneuma: Breath of Life,PlayStation4,7-Jul-15,69.0,6.5,DecoDigital,"Adventure,3D,First-Person",9.0,8.0
The Magic Circle,PC,9-Jul-15,79.0,7.1,"Questionary,Question","Adventure,3D,First-Person",18.0,31.0
The Red Solstice,PC,9-Jul-15,74.0,7.3,Ironward,"Action,General",12.0,54.0
The Vanishing of Ethan Carter,PlayStation4,14-Jul-15,81.0,7.4,TheAstronauts,"Miscellaneous,General,Adventure,3D,First-Person",33.0,177.0
God of War III Remastered,PlayStation4,14-Jul-15,81.0,8.2,WholesaleAlgorithms,"Action Adventure,Linear",67.0,1133.0
AR-K Episode 3: The Great Escape,PC,14-Jul-15,78.0,7.8,GatoSalvajeStudio,"Adventure,General",9.0,44.0
Guild of Dungeoneering,PC,14-Jul-15,72.0,5,Gambrinous,"Role-Playing,Roguelike",32.0,54.0
Deception IV: The Nightmare Princess,PlayStation4,14-Jul-15,69.0,7,KoeiTecmoGames,"Strategy,General",33.0,31.0
Tachyon Project,XboxOne,15-Jul-15,74.0,6.9,EclipseGames,"Action,Shooter,Shoot-'Em-Up,Top-Down",11.0,8.0
Luckslinger,PC,16-Jul-15,76.0,7,Duckbridge,"Action,Platformer,3D",7.0,5.0
Sorcerer King,PC,16-Jul-15,75.0,6.2,Stardock,"Strategy,General",21.0,49.0
Journey,PlayStation4,21-Jul-15,92.0,8.3,TrickyPixels,"Action,Platformer,3D",45.0,2233.0
Game of Thrones: Episode Five - A Nest of Vipers,PlayStation4,21-Jul-15,77.0,6.8,TelltaleGames,"Action,Adventure,General,Point-and-Click",11.0,37.0
Q.U.B.E. Director's Cut,PlayStation4,21-Jul-15,76.0,6.8,ToxicGames,"Puzzle,Logic",16.0,35.0
Game of Thrones: Episode Five - A Nest of Vipers,PC,21-Jul-15,74.0,6.6,TelltaleGames,"Action,Adventure,General,Point-and-Click",25.0,75.0
Hatoful Boyfriend,PlayStation4,21-Jul-15,72.0,6.1,"Mediatonic,HatoMoa","General,Adventure,Visual Novel",19.0,32.0
Tembo the Badass Elephant,PlayStation4,21-Jul-15,72.0,6.7,GameFreak,"Action Adventure,General",32.0,55.0
Tembo the Badass Elephant,XboxOne,21-Jul-15,70.0,7.3,GameFreak,"Action Adventure,General",13.0,28.0
Tembo the Badass Elephant,PC,21-Jul-15,69.0,7.4,GameFreak,"Action Adventure,General",17.0,27.0
F1 2015,PlayStation4,21-Jul-15,65.0,6.4,Codemasters,"Racing,Simulation,Automobile",46.0,56.0
Game of Thrones: Episode Five - A Nest of Vipers,XboxOne,22-Jul-15,72.0,6.9,TelltaleGames,"Action,Adventure,General,Point-and-Click",10.0,15.0
Zenzizenzic,PC,23-Jul-15,85.0,6.1,RuudKoorevaar,"Action,General",13.0,19.0
The Talos Principle: Road To Gehenna,PC,23-Jul-15,82.0,7.8,Croteam,"Adventure,3D,First-Person",17.0,56.0
Blues and Bullets - Episode 1: The End of Peace,PC,23-Jul-15,73.0,6.3,ACrowdofMonsters,"Action Adventure,General",22.0,74.0
Way of the Samurai 4,PC,23-Jul-15,72.0,7.3,Acquire,"Action Adventure,Historic,Open-World",9.0,33.0
Feist,PC,23-Jul-15,65.0,7.3,Bits&Beasts,"Action,Platformer,2D",14.0,21.0
Q.U.B.E. Director's Cut,XboxOne,24-Jul-15,76.0,6.9,ToxicGames,"Miscellaneous,Puzzle,Logic",11.0,7.0
Victor Vran,PC,24-Jul-15,75.0,7.5,HaemimontGames,"General,Role-Playing,Action RPG",42.0,125.0
Cradle,PC,24-Jul-15,65.0,7.5,FlyingCafeforSemianimals,"Fantasy,Adventure,3D,First-Person",9.0,67.0
N++,PlayStation4,28-Jul-15,82.0,6.6,MetanetSoftwareInc.,"Platformer,2D,Action,Platformer,2D",47.0,69.0
King's Quest Chapter 1: A Knight to Remember,PC,28-Jul-15,82.0,7.3,TheOddGentlemen,"Adventure,General",23.0,99.0
Life is Strange: Episode 4 - Dark Room,PlayStation4,28-Jul-15,81.0,8.4,DONTNODEntertainment,"Action Adventure,General",33.0,272.0
King's Quest Chapter 1: A Knight to Remember,PlayStation4,28-Jul-15,77.0,7.2,TheOddGentlemen,"Adventure,General",22.0,81.0
Life is Strange: Episode 4 - Dark Room,PC,28-Jul-15,76.0,8.6,DONTNODEntertainment,"Action Adventure,General",9.0,252.0
World of Tanks,XboxOne,28-Jul-15,76.0,5.8,Wargaming.net,"Action,Simulation,Shooter,Vehicle,Third-Person,Combat,Tactical",20.0,106.0
Life is Strange: Episode 4 - Dark Room,XboxOne,28-Jul-15,74.0,8.5,DONTNODEntertainment,"Action Adventure,General",11.0,106.0
The Swindle,PlayStation4,28-Jul-15,73.0,6,SizeFiveGames,"Action,Platformer,3D",14.0,29.0
Lost Dimension,PlayStation3,28-Jul-15,71.0,7.1,FuRyu,"Adventure,General",18.0,31.0
The Swindle,PC,28-Jul-15,70.0,5.1,SizeFiveGames,"Action,Platformer,3D",25.0,17.0
Sword Art Online Re: Hollow Fragment,PlayStation4,28-Jul-15,65.0,7.2,"NamcoBandaiGames,BandaiNamcoGames,Aquria","Role-Playing,General,Action RPG",30.0,86.0
Abyss Odyssey: Extended Dream Edition,PlayStation4,28-Jul-15,65.0,5.4,ACETeam,"Action Adventure,Linear",16.0,9.0
King's Quest Chapter 1: A Knight to Remember,XboxOne,29-Jul-15,80.0,7.8,TheOddGentlemen,"Adventure,General",26.0,40.0
Magic Duels: Origins,PC,29-Jul-15,77.0,6.1,StainlessGames,"Strategy,Miscellaneous,Turn-Based,Board / Card Game,Card Battle",12.0,62.0
Rare Replay,XboxOne,4-Aug-15,84.0,7.9,"RareLtd.,CodeMysticsInc.","Miscellaneous,Compilation",75.0,363.0
Galak-Z: The Dimensional,PlayStation4,4-Aug-15,82.0,7.1,17-Bit,"General,Shooter,Scrolling,Scrolling,Action,Shooter,Shoot-'Em-Up,Vertical",42.0,138.0
Call of Duty: Advanced Warfare - Reckoning,XboxOne,4-Aug-15,75.0,5.7,SledgehammerGames,"Action,Shooter,First-Person,Arcade",7.0,13.0
The Castle Game,PlayStation4,4-Aug-15,68.0,6.6,NeptuneInteractiveInc.,"Strategy,Real-Time,Defense",8.0,14.0
Fairy Fencer F,PC,4-Aug-15,66.0,7.9,IdeaFactory,"Role-Playing,Japanese-Style",9.0,45.0
Shadow Blade: Reload,PC,10-Aug-15,70.0,8.2,"DeadMageStudio,DeadMage","Action,General",10.0,21.0
OlliOlli2: Welcome to Olliwood,PC,11-Aug-15,82.0,5.8,roll7,"Sports,Individual,Skate / Skateboard",16.0,32.0
Brothers: A Tale of Two Sons,PlayStation4,11-Aug-15,81.0,8,Starbreeze,"Action Adventure,Linear",10.0,179.0
Everybody's Gone to the Rapture,PlayStation4,11-Aug-15,78.0,6.5,TheChineseRoom,"Action,General,General,Adventure,3D,First-Person",89.0,598.0
Airscape: The Fall of Gravity,PC,11-Aug-15,75.0,6.6,Cross-Product,"Action,Platformer,2D",9.0,15.0
Gauntlet: Slayer Edition,PlayStation4,11-Aug-15,71.0,6.7,ArrowheadGameStudios,"Role-Playing,Western-Style",21.0,113.0
Hacknet,PC,12-Aug-15,82.0,7.6,Orann,"General,Miscellaneous,General",7.0,62.0
Super Mega Baseball: Extra Innings,XboxOne,14-Aug-15,80.0,7.1,MetalheadSoftware,"Sports,Team,Baseball,Arcade",11.0,20.0
Volume,PC,18-Aug-15,80.0,7.3,MikeBithell,"Action,Action Adventure,Platformer,Linear,3D",34.0,54.0
Tales From The Borderlands: Episode 4 - Escape Plan Bravo,PC,18-Aug-15,79.0,8.4,TelltaleGames,"Adventure,General",27.0,120.0
Tales From The Borderlands: Episode 4 - Escape Plan Bravo,PlayStation4,18-Aug-15,78.0,7.7,TelltaleGames,"Adventure,General",9.0,56.0
Adventures of Pip,PlayStation4,18-Aug-15,74.0,6.8,TicTocGames,"Action,Platformer,2D",8.0,6.0
Pure Hold 'Em,PlayStation4,18-Aug-15,73.0,3.9,VooFooStudios,"Miscellaneous,Gambling",7.0,16.0
Zombi,XboxOne,18-Aug-15,72.0,6.3,"UbisoftMontpellier,StraightRight","Action,Action Adventure,Shooter,Survival,First-Person,Arcade",18.0,59.0
Volume,PlayStation4,18-Aug-15,71.0,7,MikeBithell,"Action,Action Adventure,Platformer,Linear,3D",15.0,26.0
Zombi,PlayStation4,18-Aug-15,71.0,5.9,"UbisoftMontpellier,StraightRight","Action,Action Adventure,Shooter,Survival,First-Person,Arcade",29.0,208.0
Final Fantasy Type-0 HD,PC,18-Aug-15,69.0,7,SquareEnix,"Role-Playing,Action RPG",9.0,83.0
Zombi,PC,18-Aug-15,65.0,4.9,UbisoftMontpellier,"Action,Action Adventure,Shooter,Survival,First-Person,Arcade",11.0,102.0
SMITE,XboxOne,19-Aug-15,80.0,7.3,Hi-RezStudios,"Strategy,Real-Time,MOBA",21.0,116.0
Shadowrun: Hong Kong,PC,20-Aug-15,81.0,7.8,HarebrainedSchemesLLC,"Role-Playing,Western-Style",28.0,243.0
Trine 3: The Artifacts of Power,PC,20-Aug-15,68.0,7.1,"Frozenbyte,Inc.","Action Adventure,General,Action,Platformer,2D",34.0,138.0
Mega Man Legacy Collection,PC,24-Aug-15,85.0,8.7,DigitalEclipse,"Miscellaneous,Compilation",7.0,89.0
Hearthstone: Heroes of Warcraft - The Grand Tournament,PC,24-Aug-15,84.0,4.1,BlizzardEntertainment,"Strategy,Turn-Based,Card Battle",8.0,136.0
Grandia II Anniversary Edition,PC,24-Aug-15,80.0,7.8,"GameArts,GungHo,SkyBoxLabs","Role-Playing,Japanese-Style",8.0,33.0
Madden NFL 16,XboxOne,25-Aug-15,84.0,6,EASports,"Sports,Team,Football,Sim",23.0,130.0
Madden NFL 16,PlayStation4,25-Aug-15,83.0,5.7,EASports,"Sports,Team,Football,Sim",37.0,197.0
Gears of War: Ultimate Edition,XboxOne,25-Aug-15,82.0,7.7,"SplashDamage,TheCoalition","Action,Shooter,Third-Person,Arcade",74.0,714.0
Dishonored: Definitive Edition,PlayStation4,25-Aug-15,80.0,7.5,ArkaneStudios,"Action Adventure,General",32.0,311.0
Mega Man Legacy Collection,XboxOne,25-Aug-15,80.0,8.4,DigitalEclipse,"Miscellaneous,Compilation",30.0,82.0
