title_id,title,platform,release_date,score,user_score,developer,genre,critics,users,franchise
5798,Super Mario Bros. 35,Switch,1-Oct-20,74,7.5,Nintendo,"Action,Platformer,2D",26,52,Super Mario
5799,Super Mario Maker 2,Switch,6/28/2019,88,8.5,Nintendo,"Action,Platformer,2D",98,751,Super Mario
5800,Super Mario Odyssey,Switch,10/27/2017,97,8.9,Nintendo,"Action,Platformer,3D",113,5546,Super Mario
5801,Super Mario Party,Switch,10/5/2018,76,7.2,"Nintendo,NdCube","Miscellaneous,Party / Minigame",84,503,Super Mario
5802,Super Meat Boy,PC,11/30/2010,87,8.2,TeamMeat,"Action,Platformer,Platformer,2D,2D",11,897,Super Meat Boy
5803,Super Meat Boy,PlayStation4,10/6/2015,85,6.9,TeamMeat,"Action,Platformer,2D",7,160,Super Meat Boy
5804,Super Meat Boy,Switch,1/11/2018,84,8.1,TeamMeat,"Action,Platformer,2D",13,72,Super Meat Boy
5805,Super Mega Baseball,PlayStation4,12/16/2014,85,7.2,MetalheadSoftware,"Traditional,Sports,Team,Baseball,Arcade",14,75,Super Mega Baseball 
5806,Super Mega Baseball 2,XboxOne,5/1/2018,81,7.2,MetalheadSoftware,"Sports,Team,Baseball,Arcade",21,24,Super Mega Baseball 
5807,Super Mega Baseball 2,PlayStation4,5/1/2018,77,6.5,MetalheadSoftware,"Sports,Team,Baseball,Arcade",7,20,Super Mega Baseball 
5808,Super Mega Baseball 3,Switch,5/13/2020,87,7.8,MetalheadSoftware,"Sports,Team,Baseball,Arcade",9,27,Super Mega Baseball 
5809,Super Mega Baseball 3,XboxOne,5/13/2020,83,6.6,MetalheadSoftware,"Sports,Team,Baseball,Arcade",12,10,Super Mega Baseball 
5810,Super Mega Baseball 3,PlayStation4,5/13/2020,80,6.4,MetalheadSoftware,"Sports,Team,Baseball,Arcade",11,12,Super Mega Baseball 
5811,Super Mega Baseball: Extra Innings,XboxOne,8/14/2015,80,7.1,MetalheadSoftware,"Sports,Team,Baseball,Arcade",11,20,Super Mega Baseball 
5812,Super Monday Night Combat,PC,4/19/2012,76,3.7,UberEntertainment,"Action,Strategy,Shooter,Real-Time,Third-Person,MOBA,MOBA,Modern",7,212,Super Monday Night Combat
5813,Super Monkey Ball: Banana Blitz HD,XboxOne,29-Oct-19,70,4.8,Sega,"Miscellaneous,Party / Minigame",7,11,
5814,Super Motherload,PlayStation4,15-Nov-13,65,6.6,XGenStudios,"General,Puzzle,Miscellaneous,Puzzle,Action",20,91,
5815,Super Mutant Alien Assault,PlayStation4,12-Jul-16,67,3.8,"Cybernate,ChrisSuffern","Action,Platformer,2D",7,5,
5816,Super One More Jump,Switch,1/25/2018,81,8.4,SMGStudio,"Action,Platformer,2D",10,27,Super One More Jump
5817,Super Puzzle Fighter II Turbo HD Remix,PlayStation3,8/30/2007,82,7.4,BackboneEntertainment,"Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching",7,14,Super Puzzle Fighter
5818,Super Rude Bear Resurrection,PlayStation4,5/2/2017,78,5.0,AlexRose,"Action,Platformer,2D",12,6,Super Rude Bear Resurrection
5819,Super Smash Bros. Ultimate,Switch,12/7/2018,93,8.6,"Nintendo,HALLabs,BandaiNamcoGames,SoraLtd.","Action,Fighting,2D",99,2819,Super Smash Bros.
5820,Super Stardust HD,PlayStation3,6/28/2007,85,8.3,Housemarque,"Action,General,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down",21,97,Super Stardust
5821,Super Stardust Ultra,PlayStation4,10-Feb-15,74,7.1,d3tLtd,"Action,Shooter,Shoot-'Em-Up,Top-Down",33,32,Super Stardust
5822,Super Stardust Ultra VR,PlayStation4,10-Oct-16,66,6.6,SonyInteractiveEntertainment,"Action,Shooter,Shoot-'Em-Up,Top-Down",13,18,Super Stardust
5823,Super Street Fighter II Turbo HD Remix,PlayStation3,11/25/2008,87,7.6,"BackboneEntertainment,BackboneEmeryville","Action,Fighting,Fighting,2D,2D",30,62,Super Street Fighter
5824,Super Street Fighter IV,PlayStation3,4/27/2010,92,7.8,Capcom,"Action,Fighting,Fighting,3D,2D,3D",58,221,Super Street Fighter
5825,Super Street Fighter IV: Arcade Edition,PlayStation3,6/7/2011,80,7.2,Capcom,"Action,Fighting,Fighting,3D,2D,2D,3D",24,60,Super Street Fighter
5826,Super Street Fighter IV: Arcade Edition,PC,7/7/2011,84,7.7,"Capcom,QLOC","Action,Fighting,Fighting,3D,2D,3D",11,159,Super Street Fighter
5827,Super Time Force,XboxOne,5/14/2014,80,6.5,CapyGames,"Action,Platformer,Shooter,2D,Scrolling,Shoot-'Em-Up,Vertical",36,118,Super Time Force
5828,Super Time Force Ultra,PC,8/25/2014,80,6.5,CapyGames,"Action,Platformer,Shooter,2D,Scrolling,Shoot-'Em-Up,Vertical",9,42,Super Time Force
5829,Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,XboxOne,6/9/2014,75,6.2,CapcomVancouver,"Action,Action Adventure,General,Open-World",13,32,Super Ultra Dead Rising
5830,SUPERBEAT: XONiC,Switch,21-Nov-17,74,7.5,Nurijoy,"Action,Rhythm,Music",9,12,
5831,Superbike 2001,PC,10/9/2000,88,6.6,MilestoneS.r.l,"Driving,Racing,Simulation,Motorcycle,Automobile,Street,Street",12,26,Superbike
5832,Superbrothers: Sword & Sworcery EP,PC,4/16/2012,83,6.4,CapyGames,"Adventure,General,General",10,220,Superbrothers
5833,SuperEpic: The Entertainment War,Switch,12/12/2019,76,7.6,NumskullGames,"Action,Platformer,2D",10,12,SuperEpic
5834,SUPERHOT,PC,2/25/2016,82,7.5,SUPERHOT,"Modern,Action,Shooter,First-Person,Tactical",93,560,SUPERHOT
5835,SUPERHOT,XboxOne,5/3/2016,83,7.8,SUPERHOT,"Modern,Action,Shooter,First-Person,Tactical",18,96,SUPERHOT
5836,SUPERHOT,PlayStation4,7/21/2017,83,7.4,SUPERHOT,"Action,Shooter,First-Person,Tactical",14,60,SUPERHOT
5837,SUPERHOT VR,PC,12/5/2016,83,7.6,SUPERHOT,"Action,Shooter,First-Person,Tactical",19,51,SUPERHOT
5838,SUPERHOT VR,PlayStation4,7/21/2017,75,7.6,SUPERHOT,"Action,Shooter,First-Person,Tactical",22,98,SUPERHOT
5839,SUPERHOT: MIND CONTROL DELETE,XboxOne,7/16/2020,82,5.4,SUPERHOT,"Action,Shooter,First-Person,Tactical",12,10,SUPERHOT
5840,SUPERHOT: MIND CONTROL DELETE,PC,7/16/2020,78,6.7,SUPERHOT,"Action,Shooter,First-Person,Tactical",34,59,SUPERHOT
5841,SUPERHOT: MIND CONTROL DELETE,PlayStation4,7/16/2020,77,6.5,SUPERHOT,"Action,Shooter,First-Person,Tactical",15,12,SUPERHOT
5842,SuperHyperCube,PlayStation4,13-Oct-16,74,6.1,KOKOROMI,"Puzzle,General",15,21,
5843,Superliminal,PC,12-Nov-19,74,7.8,PillowCastleGames,"Adventure,3D,First-Person",31,96,
5844,Superliminal,PlayStation4,7/7/2020,80,6.9,PillowCastleGames,"Adventure,3D,First-Person",10,14,Superliminal
5845,Superliminal,XboxOne,7/7/2020,80,9.6,PillowCastleGames,"Adventure,3D,First-Person",8,1226,Superliminal
5846,Superliminal,Switch,7/7/2020,75,9.6,PillowCastleGames,"Adventure,3D,First-Person",8,695,Superliminal
5847,Supersonic Acrobatic Rocket-Powered Battle-Cars,PlayStation3,9-Oct-08,67,8.2,Psyonix,"Action,General,General",16,66,
5848,Superstars V8 Racing,PlayStation3,26-Oct-10,66,5.8,MilestoneS.r.l,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",29,14,
5849,Supreme Commander,PC,2/20/2007,86,8.3,GasPoweredGames,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",44,311,Supreme Commander
5850,Supreme Commander 2,PC,3/1/2010,77,6.2,GasPoweredGames,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",54,821,Supreme Commander
5851,Supreme Commander: Forged Alliance,PC,11/6/2007,81,8.8,GasPoweredGames,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",35,269,Supreme Commander
5852,Supreme Ruler 2010,PC,12-May-05,69,7.6,BattleGoatStudios,"Strategy,Turn-Based,Wargame,Turn-Based,General",9,26,
