Game Name,Franchise,Release Year,Years Since,First Release Year,Main Genre,Tier by Score,Critics,Critic_Score,Users,User Score,Developer,Global Sales,Other Info
Command & Conquer: Red Alert 2 - Yuri's Revenge,Command & Conquer,2001,5,1996,Strategy,Tier 2,23,86,298,8.9,WestwoodStudios,0.02,"Strategy,Real-Time,Sci-Fi,Sci-Fi,Command"
Command & Conquer: Red Alert 3,Command & Conquer,2008,12,1996,Strategy,Tier 2,55,82,542,6.9,EALA,0.67,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
Command & Conquer: Red Alert 3,Command & Conquer,2009,13,1996,Strategy,Tier 3,23,75,23,7.3,EALA,0.35,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
Command & Conquer: Renegade,Command & Conquer,2002,6,1996,Action,Tier 3,28,75,128,7.7,WestwoodStudios,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Command & Conquer: The First Decade,Command & Conquer,2006,10,1996,General,Tier 3,12,71,35,8.8,Various,0.02,"Miscellaneous,Compilation,Compilation"
Commander: Conquest of the Americas,Commander,2010,0,2010,Strategy,Tier 4,16,68,20,5.3,NitroGames,0.03,"Strategy,Real-Time,General,General,Command"
Commandos 2: Men of Courage,Commandos,2001,0,2001,Strategy,Tier 2,17,87,265,8.8,PyroStudios,0.21,"Strategy,Real-Time,Military,General,Military"
Commandos 3: Destination Berlin,Commandos,2003,2,2001,Strategy,Tier 3,24,72,100,7.6,PyroStudios,0.02,"Strategy,Real-Time,Military,General,Military"
Company of Heroes,Company of Heroes,2006,0,2006,Strategy,Tier 1,55,93,1336,8.8,Relic,0.05,"Strategy,Real-Time,Historic,General,Historic"
Company of Heroes 2,Company of Heroes,2013,7,2006,Strategy,Tier 2,82,80,5795,2.1,Relic,0.34,"Strategy,Real-Time,Historic,General,Historic"
Company of Heroes 2: Ardennes Assault,Company of Heroes,2014,8,2006,Strategy,Tier 2,38,81,82,6.3,"Relic,Sega,RelicEntertainment",0.18,"Strategy,Real-Time,General,Historic"
Company of Heroes 2: The British Forces,Company of Heroes,2015,9,2006,Strategy,Tier 2,14,80,58,6.3,"Relic,RelicEntertainment",0.08,"Strategy,Real-Time,General"
Company of Heroes 2: The Western Front Armies,Company of Heroes,2014,8,2006,Strategy,Tier 2,29,80,119,6.9,"Relic,RelicEntertainment",0.19,"Strategy,Real-Time,General,Historic"
Company of Heroes: Opposing Fronts,Company of Heroes,2007,1,2006,Strategy,Tier 2,36,87,250,8.6,Relic,0.04,"Strategy,Real-Time,Military,General,Military"
Company of Heroes: Tales of Valor,Company of Heroes,2009,3,2006,Strategy,Tier 3,42,70,216,7.2,Relic,0.04,"Strategy,Real-Time,Military,General,Military"
Concrete Genie,Concrete Genie,2019,0,2019,Adventure,Tier 3,83,75,298,8.3,PixelOpus,,"Adventure,3D,Third-Person"
Condemned 2: Bloodshot,Condemned,2008,2,2006,Action Adventure,Tier 2,37,82,105,8.0,MonolithProductions,0.39,"Action Adventure,Horror,Horror,Survival"
Condemned: Criminal Origins,Condemned,2006,0,2006,Action Adventure,Tier 3,24,78,205,7.7,MonolithProductions,,"Action Adventure,Horror,Horror,Survival"
Conquest: Frontier Wars,Conquest,2001,0,2001,Strategy,Tier 2,13,80,15,8.1,FeverPitchStudios,,"Strategy,General,General"
Contra Anniversary Collection,Contra,2019,0,2019,General,Tier 2,10,81,26,7.0,Konami,,"Miscellaneous,Compilation"
Control,Control,2019,0,2019,Action Adventure,Tier 2,33,85,941,7.2,RemedyEntertainment,,"Action Adventure,General"
Control,Control,2019,0,2019,Action Adventure,Tier 2,63,82,1544,7.3,RemedyEntertainment,,"Action Adventure,General"
Control,Control,2019,0,2019,Action Adventure,Tier 2,31,84,284,7.3,"RemedyEntertainment,505Games",,"Action Adventure,General"
Control: AWE,Control,2020,1,2019,Action Adventure,Tier 3,16,76,17,6.5,RemedyEntertainment,,"Action Adventure,General"
Control: AWE,Control,2020,1,2019,Action Adventure,Tier 3,19,73,11,6.4,RemedyEntertainment,,"Action Adventure,General"
Control: The Foundation,Control,2020,1,2019,Action Adventure,Tier 3,13,78,41,6.2,RemedyEntertainment,,"Action Adventure,General"
Control: The Foundation,Control,2020,1,2019,Action Adventure,Tier 3,20,77,29,6.1,RemedyEntertainment,,"Action Adventure,General"
Cosmic Star Heroine,Cosmic Star Heroine,2017,0,2017,Role-Play,Tier 3,8,77,25,7.1,ZeboydGames,,"Console-style RPG,Console-style RPG,Role-Playing,Japanese-Style"
Cosmic Star Heroine,Cosmic Star Heroine,2017,0,2017,Role-Play,Tier 3,8,76,47,7.5,ZeboydGames,,"Console-style RPG,Console-style RPG,Role-Playing,Japanese-Style"
Cosmic Star Heroine,Cosmic Star Heroine,2018,1,2017,Role-Play,Tier 3,11,78,26,7.4,ZeboydGames,,"Role-Playing,Japanese-Style"
Cossacks II: Battle for Europe,Cossacks,2006,5,2001,Strategy,Tier 4,12,69,35,8.0,GSCGameWorld,,"Strategy,Real-Time,Historic,Historic,Command"
Cossacks II: Napoleonic Wars,Cossacks,2005,4,2001,Strategy,Tier 3,33,73,49,7.3,GSCGameWorld,,"Strategy,Real-Time,Historic,Historic,Command"
Cossacks: European Wars,Cossacks,2001,0,2001,Strategy,Tier 3,16,74,87,8.0,GSCGameWorld,0.03,"Strategy,Real-Time,General,General,Command"
Cossacks: The Art of War,Cossacks,2002,1,2001,Strategy,Tier 3,10,74,51,8.4,GSCGameWorld,,"Strategy,Real-Time,Historic,Historic,Command"
Costume Quest,Costume Quest,2010,0,2010,Role-Play,Tier 3,39,77,67,8.0,DoubleFineProductions,,"Role-Playing,Action RPG,Action RPG"
Costume Quest 2,Costume Quest,2014,4,2010,Role-Play,Tier 4,27,68,36,7.5,DoubleFineProductions,,"Role-Playing,Action RPG,Japanese-Style"
Costume Quest 2,Costume Quest,2014,4,2010,Role-Play,Tier 3,7,74,35,6.8,DoubleFineProductions,,"Role-Playing,Action RPG,Japanese-Style"
Counter-Strike,Counter-Strike,2000,0,2000,Action,Tier 2,11,88,7112,9.2,TheCounter-StrikeTeam,,"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern"
Counter-Strike: Condition Zero,Counter-Strike,2004,4,2000,Action,Tier 4,33,65,1610,8.7,TurtleRockStudios,,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
Counter-Strike: Global Offensive,Counter-Strike,2012,12,2000,Action,Tier 2,38,83,4150,7.3,"ValveSoftware,HiddenPathEntertainment",0.16,"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern"
Counter-Strike: Global Offensive,Counter-Strike,2012,12,2000,Action,Tier 2,7,80,106,7.1,"ValveSoftware,HiddenPathEntertainment",0.06,"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern"
Counter-Strike: Source,Counter-Strike,2004,4,2000,Action,Tier 2,9,88,10108,8.9,ValveSoftware,0.08,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern"
Crash Bandicoot 4: It's About Time,Crash Bandicoot,2020,3,2017,Action,Tier 2,89,85,477,8.4,ToysforBob,,"Action,Platformer,3D"
Crash Bandicoot 4: It's About Time,Crash Bandicoot,2020,3,2017,Action,Tier 2,17,83,63,8.5,ToysforBob,,"Action,Platformer,3D"
Crash Bandicoot N. Sane Trilogy,Crash Bandicoot,2017,0,2017,General,Tier 2,85,80,1182,8.4,VicariousVisions,,"Miscellaneous,Compilation"
Crash Bandicoot N. Sane Trilogy,Crash Bandicoot,2018,1,2017,General,Tier 3,15,79,99,7.5,VicariousVisions,,"Miscellaneous,Compilation"
Crash Bandicoot N. Sane Trilogy,Crash Bandicoot,2018,1,2017,General,Tier 3,8,76,180,8.2,"VicariousVisions,IronGalaxyStudios",,"Miscellaneous,Compilation"
Crash Bandicoot N. Sane Trilogy,Crash Bandicoot,2018,1,2017,General,Tier 3,40,78,305,8.2,"VicariousVisions,ToysforBob",,"Miscellaneous,Compilation"
Crash Commando,Crash Commando,2008,0,2008,Action,Tier 3,22,78,31,8.0,Epos,,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-''Em-Up,Vertical"
Crash Team Racing: Nitro-Fueled,Crash Team Racing,2019,0,2019,Racing,Tier 2,18,80,237,6.4,Beenox,,"Racing,Arcade,Automobile"
Crash Team Racing: Nitro-Fueled,Crash Team Racing,2019,0,2019,Racing,Tier 2,18,84,164,6.1,Beenox,,"Racing,Arcade,Automobile"
Crash Team Racing: Nitro-Fueled,Crash Team Racing,2019,0,2019,Racing,Tier 2,75,83,699,6.9,Beenox,,"Racing,Arcade,Automobile"
Crashlands,Crashlands,2016,0,2016,Role-Play,Tier 3,10,78,48,7.7,ButterscotchShenanigans,,"Role-Playing,Action RPG"
Crawl,Crawl,2017,0,2017,Role-Play,Tier 3,8,76,6,6.5,Powerhoof,,"Role-Playing,General,Action RPG"
Crayon Physics Deluxe,Crayon Physics Deluxe,2009,0,2009,General,Tier 3,15,79,87,7.5,PetriPurho,,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General"
Creaks,Creaks,2020,0,2020,Adventure,Tier 2,7,83,8,6.8,AmanitaDesign,,"Adventure,General"
Creaks,Creaks,2020,0,2020,Adventure,Tier 2,18,82,42,8.1,AmanitaDesign,,"Adventure,General"
Creature in the Well,Creature in the Well,2019,0,2019,Action Adventure,Tier 3,15,78,16,5.9,FlightSchoolStudio,,"Action Adventure,General"
Creature in the Well,Creature in the Well,2019,0,2019,Action Adventure,Tier 3,21,76,24,7.5,FlightSchoolStudio,,"Action Adventure,General"
Creature in the Well,Creature in the Well,2020,1,2019,Action Adventure,Tier 2,9,81,10,6.4,FlightSchoolStudio,,"Action Adventure,General"
Crime Cities,Crime Cities,2000,0,2000,Racing,Tier 3,7,71,6,8.0,Techland,,"Driving,Racing,Mission-based,Arcade,Mission-based,Automobile"
Crimson Skies,Crimson Skies,2000,0,2000,Simulation,Tier 2,32,83,23,7.7,ZipperInteractive,,"Simulation,Flight,Sci-Fi,Futuristic Jet,Futuristic Jet,Combat"
Critter Crunch,Critter Crunch,2009,0,2009,General,Tier 2,22,87,34,7.4,PlayerX,,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General"
Cross Racing Championship 2005,Cross Racing Championship,2005,0,2005,Racing,Tier 3,12,77,5,6.8,Invictus,,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile"
CrossCode,CrossCode,2018,0,2018,Role-Play,Tier 2,13,86,154,8.3,RadicalFishGames,,"Role-Playing,Action RPG"
CrossCode,CrossCode,2020,2,2018,Role-Play,Tier 2,18,82,34,8.3,RadicalFishGames,,"Role-Playing,Action RPG"
CrossCode,CrossCode,2020,2,2018,Role-Play,Tier 2,19,81,35,7.4,RadicalFishGames,,"Role-Playing,Action RPG"
Crossing Souls,Crossing Souls,2018,0,2018,Action Adventure,Tier 3,22,75,35,6.9,Fourattic,,"Action Adventure,General"
Crossing Souls,Crossing Souls,2018,0,2018,Action Adventure,Tier 3,26,70,45,6.7,Fourattic,,"Action Adventure,General"
Crossing Souls,Crossing Souls,2018,0,2018,Action Adventure,Tier 4,7,67,10,6.1,Fourattic,,"Action Adventure,General"
Crown Trick,Crown Trick,2020,0,2020,Role-Play,Tier 2,9,82,10,7.9,NExTStudios,,"Role-Playing,Roguelike"
Crusader Kings,Crusader Kings,2004,0,2004,Strategy,Tier 3,26,73,43,7.6,ParadoxDevelopmentStudio,0.23,"Strategy,Real-Time,Historic,General,Historic"
Crusader Kings II,Crusader Kings,2012,8,2004,Strategy,Tier 2,31,82,933,8.7,ParadoxDevelopmentStudio,0.67,"Strategy,Real-Time,Historic,General,Historic"
Crusader Kings II: Sons of Abraham,Crusader Kings,2013,9,2004,Action Adventure,Tier 3,7,77,55,7.6,ParadoxDevelopmentStudio,,"Historic,Strategy,Real-Time,General,Historic"
Crusader Kings II: The Old Gods,Crusader Kings,2013,9,2004,Strategy,Tier 2,7,88,176,8.7,ParadoxDevelopmentStudio,,"Strategy,Real-Time,Historic,General,Historic"
Crusader Kings III,Crusader Kings ,2020,0,2020,Strategy,Tier 1,59,91,297,8.4,ParadoxInteractive,,"Strategy,Real-Time,General"
Crying Suns,Crying Suns,2019,0,2019,Strategy,Tier 3,11,75,26,7.6,AltShift,,"Strategy,General"
Crypt of the NecroDancer,Crypt of the NecroDancer,2015,0,2015,Action,Tier 2,45,87,203,7.7,BraceYourselfGames,,"Action,Role-Playing,General,Action RPG"
Crypt of the NecroDancer,Crypt of the NecroDancer,2016,1,2015,Role-Play,Tier 2,8,85,49,6.5,BraceYourselfGames,,"Role-Playing,General,Action RPG"
Crypt of the NecroDancer: Nintendo Switch Edition,Crypt of the NecroDancer,2018,3,2015,Role-Play,Tier 2,8,86,74,7.1,BraceYourselfGames,,"Role-Playing,General,Action RPG"
Crysis,Crysis,2007,0,2007,Action,Tier 1,56,91,2503,8.1,Crytek,0.71,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Crysis,Crysis,2011,4,2007,Action,Tier 2,19,81,134,7.0,Crytek,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Crysis 2,Crysis,2011,4,2007,Action,Tier 2,42,86,1888,6.9,Crytek,0.74,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Crysis 2,Crysis,2011,4,2007,Action,Tier 2,54,85,442,7.2,Crytek,1.29,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Crysis 3,Crysis,2013,6,2007,Action,Tier 3,23,77,316,6.5,Crytek,0.87,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Crysis 3,Crysis,2013,6,2007,Action,Tier 3,47,76,1435,6.7,Crytek,0.63,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Crysis Remastered,Crysis,2020,13,2007,Action,Tier 4,29,66,67,8.1,SaberInteractive,,"Action,Shooter,First-Person,Arcade"
Crysis Remastered,Crysis,2020,13,2007,Action,Tier 3,19,70,114,3.2,SaberInteractive,0.09,"Action,Shooter,First-Person,Arcade"
Crysis Remastered,Crysis,2020,13,2007,Action,Tier 3,19,70,114,3.2,SaberInteractive,0.09,"Action,Shooter,First-Person,Arcade"
Crysis Warhead,Crysis,2008,1,2007,Action,Tier 2,56,84,648,7.9,Crytek,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Crystal Crisis,Crystal Crisis,2019,0,2019,Puzzle,Tier 3,14,79,12,7.5,Nicalis,,"Puzzle,Stacking"
Cuboid,Cuboid,2009,0,2009,General,Tier 3,13,79,18,7.6,CreatStudios,,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General"
Cultures 2: The Gates of Asgard,Cultures,2002,0,2002,Strategy,Tier 3,7,72,12,7.7,"FunaticsDevelopmentGmbH,FunaticsSoftware,Funatics",,"Strategy,City Building,Management,Historic,Historic,Government"
Cultures 2: The Gates of Asgard,Cultures,2002,0,2002,Strategy,Tier 3,7,72,12,7.7,"FunaticsDevelopmentGmbH,FunaticsSoftware,Funatics",,"Strategy,City Building,Management,Historic,Historic,Government"
Cuphead,Cuphead,2017,0,2017,Action,Tier 2,31,88,1271,8.2,StudioMDHR,1.14,"Action,Platformer,2D"
Cuphead,Cuphead,2017,0,2017,Action,Tier 2,72,86,846,8.4,StudioMDHR,0.98,"Action,Platformer,2D"
Cuphead,Cuphead,2019,2,2017,Action,Tier 2,40,87,351,8.3,StudioMDHR,,"Action,Platformer,2D"
Cuphead,Cuphead,2020,3,2017,Action,Tier 2,14,86,155,8.1,StudioMDHR,0.96,"Action,Platformer,2D"
Cytus Alpha,Cytus Alpha,2019,0,2019,Action,Tier 2,7,81,10,8.0,RayarkInc.,,"Action,Rhythm,Music"
D4: Dark Dreams Don't Die,D4,2014,0,2014,Action,Tier 3,43,76,308,7.2,AccessGames,0.3,"Action,Adventure,General,3D,Point-and-Click,Modern,Third-Person,Modern"
DCS: Black Shark,DCS,2009,0,2009,Simulation,Tier 2,12,82,57,8.6,EagleDynamics,,"Simulation,Flight,Helicopter,Helicopter,Civilian"
DEFCON: Everybody Dies,DEFCON,2006,0,2006,Strategy,Tier 2,36,84,200,8.3,Introversion,,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
DG2: Defense Grid 2,DG2: Defense Grid 2,2014,0,2014,General,Tier 2,21,81,91,6.7,HiddenPathEntertainment,,"General,Strategy,Real-Time,General,Defense"
DG2: Defense Grid 2,DG2: Defense Grid 2,2014,0,2014,Strategy,Tier 3,9,77,30,7.1,HiddenPathEntertainment,,"Strategy,Real-Time,General,Defense"
DG2: Defense Grid 2,DG2: Defense Grid 2,2014,0,2014,Strategy,Tier 3,8,78,26,7.0,HiddenPathEntertainment,,"Strategy,Real-Time,General,Defense"
DISTRAINT,DISTRAINT,2015,0,2015,Adventure,Tier 3,8,76,71,7.5,JesseMakkonen,,"Adventure,General"
DJ Hero,DJ Hero,2009,0,2009,Action,Tier 2,53,86,57,7.5,FreeStyleGames,0.9,"Action,Miscellaneous,Rhythm,Music,Music"
DJ Hero 2,DJ Hero,2010,1,2009,Action,Tier 2,46,86,26,7.8,FreeStyleGames,0.75,"Action,Miscellaneous,Rhythm,Music,Music"
DJMax Respect,DJMax Respect,2018,0,2018,Action,Tier 2,11,85,47,7.8,RockyStudio,,"Action,Rhythm,Music"
DOOM,DOOM,2016,12,2004,Sci-Fi,Tier 2,25,87,821,8.5,idSoftware,,"Sci-Fi,Action,Shooter,First-Person,Third-Person,Arcade"
DOOM,DOOM,2016,12,2004,Sci-Fi,Tier 2,61,85,2308,8.4,idSoftware,,"Sci-Fi,Third-Person,Action,Shooter,First-Person,Arcade"
DOOM,DOOM,2016,12,2004,Sci-Fi,Tier 2,44,85,3039,8.5,idSoftware,,"Sci-Fi,Action,Shooter,First-Person,Third-Person,Arcade"
DOOM,DOOM,2017,13,2004,Action,Tier 3,66,79,466,8.6,"idSoftware,PanicButton",,"Action,Shooter,First-Person,Arcade"
DOOM 3,DOOM,2004,0,2004,Action,Tier 2,83,87,1183,7.7,idSoftware,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
DOOM 3 BFG Edition,DOOM,2012,8,2004,Action,Tier 4,16,67,154,7.0,idSoftware,,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi"
DOOM 3: Resurrection of Evil,DOOM,2005,1,2004,Action,Tier 3,46,78,198,7.0,NerveSoftware,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
DOOM 64,DOOM,2020,16,2004,Action,Tier 3,9,77,54,7.8,"idSoftware,NightDiveStudios",,"Action,Shooter,First-Person,Arcade"
DOOM 64,DOOM,2020,16,2004,Action,Tier 3,9,75,43,7.0,NightDiveStudios,,"Action,Shooter,First-Person,Arcade"
DOOM Eternal,DOOM,2020,16,2004,Action,Tier 2,33,88,958,8.4,idSoftware,,"Action,Shooter,First-Person,Arcade"
DOOM Eternal,DOOM,2020,16,2004,Action,Tier 2,61,88,2567,7.7,idSoftware,,"Action,Shooter,First-Person,Arcade"
DOOM Eternal,DOOM,2020,16,2004,Action,Tier 2,48,87,1998,8.3,idSoftware,,"Action,Shooter,First-Person,Arcade"
DOOM Eternal: The Ancient Gods Part One,DOOM,2020,16,2004,Action,Tier 3,13,79,39,8.2,idSoftware,,"Action,Shooter,First-Person,Arcade"
DOOM Eternal: The Ancient Gods Part One,DOOM,2020,16,2004,Action,Tier 3,16,77,30,7.0,idSoftware,,"Action,Shooter,First-Person,Arcade"
DOOM VFR,DOOM,2017,13,2004,Action,Tier 4,11,69,59,8.0,idSoftware,,"Action,Shooter,First-Person,Light Gun,Arcade"
DOOM VFR,DOOM,2017,13,2004,Action,Tier 3,48,71,126,7.5,idSoftware,,"Action,Shooter,First-Person,Light Gun,Arcade"
DUSK,DUSK,2018,0,2018,Action,Tier 2,19,88,168,8.2,NewBloodInteractive,,"Action,Shooter,First-Person,Arcade"
Dandy Dungeon: Legend of Brave Yamada,Dandy Dungeon: Legend of Brave Yamada,2019,0,2019,Puzzle,Tier 3,14,78,13,8.2,"DMMGAMES,OnionGames",,"Puzzle,Action"
Danganronpa 1-2 Reload,Danganronpa,2017,1,2016,General,Tier 2,29,83,118,8.3,SpikeChunsoft,0.19,"Miscellaneous,Compilation"
Danganronpa V3: Killing Harmony,Danganronpa,2017,1,2016,Action,Tier 2,44,81,187,7.5,SpikeChunsoft,,"Action,General,Adventure,Visual Novel"
Danganronpa: Trigger Happy Havoc,Danganronpa,2016,0,2016,Adventure,Tier 2,10,82,195,8.5,SpikeChunsoft,,"Adventure,Visual Novel"
Dangerous Waters,Dangerous Waters,2005,0,2005,Simulation,Tier 2,24,82,30,8.6,Sonalysts,0.43,"Simulation,Submarine,Marine,Combat"
Danmaku Unlimited 3,Danmaku,2018,0,2018,Action,Tier 2,7,84,24,7.9,DoragonEntertainment,,"Action,Shooter,Shoot-''Em-Up,Vertical"
Dante's Inferno,Dante's Inferno,2010,0,2010,Action,Tier 3,69,75,327,7.6,VisceralGames,1.08,"Action,Beat-''Em-Up,Beat-''Em-Up,2D,3D"
Dariusburst: Chronicle Saviours,Dariusburst,2015,0,2015,Action,Tier 2,15,80,26,7.1,Pyramid,,"Action,Shooter,Shoot-''Em-Up,Horizontal"
Dariusburst: Chronicle Saviours,Dariusburst,2015,0,2015,Action,Tier 2,9,80,12,8.6,Pyramid,,"Action,Shooter,Shoot-''Em-Up,Horizontal"
Dark Age of Camelot,Dark Age of Camelot,2001,0,2001,Role-Play,Tier 2,18,88,71,7.8,MythicEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Dark Age of Camelot: Catacombs,Dark Age of Camelot,2004,3,2001,Role-Play,Tier 2,9,83,12,7.0,MythicEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Dark Age of Camelot: Shrouded Isles,Dark Age of Camelot,2002,1,2001,Role-Play,Tier 2,10,85,21,7.4,MythicEntertainment,,"Role-Playing,Massively Multiplayer Online,Fantasy,Fantasy"
Dark Age of Camelot: Trials of Atlantis,Dark Age of Camelot,2003,2,2001,Role-Play,Tier 3,14,75,12,7.3,MythicEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Dark Fall 3: Lost Souls,Dark Fall,2010,0,2010,Adventure,Tier 3,8,75,30,7.0,DarklingRoom,,"Adventure,3D,First-Person,Modern,Modern"
Dark Reign 2,Dark Reign,2000,0,2000,Strategy,Tier 3,26,77,16,7.1,PandemicStudios,,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
Dark Souls,Dark Souls,2011,0,2011,Role-Play,Tier 2,54,89,2017,8.9,FromSoftware,2.02,"Role-Playing,Action RPG,Action RPG"
Dark Souls II,Dark Souls,2014,3,2011,Role-Play,Tier 1,69,91,1266,8.1,FromSoftware,1.27,"Action RPG,Role-Playing,Action RPG"
Dark Souls II,Dark Souls,2014,3,2011,Role-Play,Tier 1,36,91,2703,7.2,FromSoftware,1.12,"Action RPG,Role-Playing,Action RPG"
Dark Souls II: Crown of the Ivory King,Dark Souls,2014,3,2011,Role-Play,Tier 2,12,82,101,7.9,NamcoBandaiGames,0.6,"Role-Playing,Action RPG"
Dark Souls II: Crown of the Ivory King,Dark Souls,2014,3,2011,Role-Play,Tier 2,10,87,70,8.4,NamcoBandaiGames,0.86,"Role-Playing,Action RPG"
Dark Souls II: Crown of the Old Iron King,Dark Souls,2014,3,2011,Role-Play,Tier 2,11,83,81,8.1,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls II: Crown of the Old Iron King,Dark Souls,2014,3,2011,Role-Play,Tier 3,15,79,110,7.6,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls II: Crown of the Sunken King,Dark Souls,2014,3,2011,Role-Play,Tier 2,18,83,65,8.0,NamcoBandaiGames,,"Role-Playing,Action RPG"
Dark Souls II: Crown of the Sunken King,Dark Souls,2014,3,2011,Role-Play,Tier 2,19,82,199,7.5,NamcoBandaiGames,,"Role-Playing,Action RPG"
Dark Souls II: Scholar of the First Sin,Dark Souls,2015,4,2011,Role-Play,Tier 3,8,79,491,7.5,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls II: Scholar of the First Sin,Dark Souls,2015,4,2011,Role-Play,Tier 2,11,89,236,7.8,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls II: Scholar of the First Sin,Dark Souls,2015,4,2011,Role-Play,Tier 2,42,87,1053,7.9,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls III,Dark Souls,2016,5,2011,Role-Play,Tier 2,56,89,3141,8.4,FromSoftware,1.17,"Role-Playing,Action RPG"
Dark Souls III,Dark Souls,2016,5,2011,Role-Play,Tier 2,69,89,3549,8.8,FromSoftware,1.65,"Role-Playing,Action RPG"
Dark Souls III,Dark Souls,2016,5,2011,Role-Play,Tier 2,14,87,688,8.6,FromSoftware,0.84,"Role-Playing,Action RPG"
Dark Souls III: Ashes of Ariandel,Dark Souls,2016,5,2011,Role-Play,Tier 3,23,73,154,7.4,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls III: Ashes of Ariandel,Dark Souls,2016,5,2011,Role-Play,Tier 3,26,71,189,7.3,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls III: The Ringed City,Dark Souls,2017,6,2011,Role-Play,Tier 2,22,82,233,8.3,FromSoftware,0.32,"Role-Playing,Action RPG"
Dark Souls III: The Ringed City,Dark Souls,2017,6,2011,Role-Play,Tier 2,28,82,229,8.3,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls Remastered,Dark Souls,2018,7,2011,Role-Play,Tier 2,8,84,408,7.1,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls Remastered,Dark Souls,2018,7,2011,Role-Play,Tier 2,9,86,131,7.5,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls Remastered,Dark Souls,2018,7,2011,Role-Play,Tier 2,53,84,765,7.5,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls Remastered,Dark Souls,2018,7,2011,Role-Play,Tier 2,51,83,260,8.0,FromSoftware,,"Role-Playing,Action RPG"
Dark Souls: Prepare to Die Edition,Dark Souls,2012,1,2011,Role-Play,Tier 2,42,85,2335,7.7,FromSoftware,,"Role-Playing,Action RPG,Action RPG"
Darkened Skye,Darkened Skye,2002,0,2002,Action,Tier 4,10,65,7,6.9,BostonAnimation,,"Action,Action Adventure,General,General,Fantasy"
Darkest Dungeon,Darkest Dungeon,2016,0,2016,Role-Play,Tier 2,56,84,619,7.8,RedHookStudios,0.02,"Role-Playing,General"
Darkest Dungeon,Darkest Dungeon,2016,0,2016,Role-Play,Tier 2,16,83,154,7.8,RedHookStudios,0.35,"Role-Playing,General"
Darkest Dungeon,Darkest Dungeon,2018,2,2016,Role-Play,Tier 2,18,85,125,8.0,RedHookStudios,,"Role-Playing,General"
Darkest Dungeon: The Crimson Court,Darkest Dungeon,2017,1,2016,Role-Play,Tier 2,11,82,15,6.6,RedHookStudios,,"Role-Playing,General"
Darknet,Darknet,2017,0,2017,Puzzle,Tier 3,8,78,9,5.4,ArchiactInteractiveLtd.,,"Puzzle,General"
Darksiders,Darksiders,2010,0,2010,Action Adventure,Tier 2,73,82,374,7.9,VigilGames,0.02,"Action Adventure,Modern,Modern,Open-World"
Darksiders,Darksiders,2010,0,2010,Action Adventure,Tier 2,18,83,777,7.7,VigilGames,0.15,"Action Adventure,Modern,Fantasy,Modern,Open-World"
Darksiders Genesis,Darksiders,2019,9,2010,Role-Play,Tier 3,70,77,196,7.6,AirshipSyndicateEntertainment,,"Role-Playing,Action RPG"
