Game Name,Franchise,Release Year,Years Since,First Release Year,Main Genre,Tier by Score,Critics,Critic_Score,Users,User Score,Developer,Global Sales,Other Info
MTX Mototrax,MTX Mototrax,2004,0,2004,Racing,Tier 3,7,75,15,7.5,Aspyr,,"Driving,Racing,Arcade,Motorcycle,Other,Motocross,Motocross"
MVP Baseball 2003,MVP Baseball ,2003,0,2003,Sports,Tier 3,14,78,12,7.4,EASports,,"Sports,Traditional,Team,Baseball,Sim,Sim"
MVP Baseball 2004,MVP Baseball ,2004,1,2003,Sports,Tier 2,13,82,14,7.4,EASports,,"Sports,Traditional,Team,Baseball,Sim,Sim"
MVP Baseball 2005,MVP Baseball ,2005,2,2003,Sports,Tier 2,11,85,19,7.4,EASports,,"Sports,Traditional,Team,Baseball,Sim,Sim"
Machinarium,Machinarium,2009,0,2009,Adventure,Tier 2,47,85,649,8.7,AmanitaDesign,0.11,"Adventure,General,Third-Person,General,Point-and-Click,Sci-Fi"
Mad Rat Dead,Mad Rat Dead,2020,0,2020,Action,Tier 2,8,80,5,8.6,NipponIchiSoftware,,"Action,Rhythm,Music"
Madden NFL 19,Madden NFL,2018,18,2000,Sports,Tier 2,30,80,245,2.0,EATiburon,,"Sports,Team,Football,Sim"
Madden NFL 06,Madden NFL,2005,5,2000,Sports,Tier 3,16,78,5,6.8,BudCat,,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 07,Madden NFL,2006,6,2000,Sports,Tier 2,15,80,15,7.3,EATiburon,,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 07,Madden NFL,2006,6,2000,Sports,Tier 3,25,76,24,4.7,EATiburon,0.52,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 08,Madden NFL,2007,7,2000,Sports,Tier 2,31,81,37,5.8,EATiburon,0.97,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 09,Madden NFL,2008,8,2000,Sports,Tier 2,38,85,134,4.4,EATiburon,1.88,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 10,Madden NFL,2009,9,2000,Sports,Tier 2,41,85,60,6.8,EATiburon,2.37,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 11,Madden NFL,2010,10,2000,Sports,Tier 2,36,83,69,6.1,EATiburon,2.38,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 12,Madden NFL,2011,11,2000,Sports,Tier 3,31,79,59,5.6,EATiburon,2.25,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 13,Madden NFL,2012,12,2000,Sports,Tier 2,22,83,105,5.5,EATiburon,0.01,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 13,Madden NFL,2012,12,2000,Sports,Tier 2,22,83,105,5.5,EATiburon,2.56,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 15,Madden NFL,2014,14,2000,Sports,Tier 2,37,81,219,6.0,EASports,2.19,"Sports,Traditional,Team,Football,Sim"
Madden NFL 15,Madden NFL,2014,14,2000,Sports,Tier 2,19,80,138,6.2,EASports,1.57,"Sports,Traditional,Team,Football,Sim"
Madden NFL 15,Madden NFL,2014,14,2000,Sports,Tier 2,19,80,138,6.2,EASports,1.57,"Sports,Traditional,Team,Football,Sim"
Madden NFL 16,Madden NFL,2015,15,2000,Sports,Tier 2,23,84,130,6.0,EASports,2.42,"Sports,Team,Football,Sim"
Madden NFL 16,Madden NFL,2015,15,2000,Sports,Tier 2,37,83,197,5.7,EASports,3.24,"Sports,Team,Football,Sim"
Madden NFL 17,Madden NFL,2016,16,2000,Sports,Tier 2,30,83,59,5.4,EASports,1.23,"Sports,Team,Football,Sim"
