game_name,franchise,platform,release_date,release_year,years_since,first_release_year,main_genre,tier_by_score,critics,critic_score,users,user_score,developer,global_sales,other_info
Nexus: The Jupiter Incident,Nexus,PC,2005-02-24,2005,0,2005,Strategy,Tier 3,24,77,87,9,Mithis/HDInteractive,,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
NHL 06,NHL,PC,2005-09-06,2005,5,2000,Sports,Tier 3,16,77,18,7,EACanada,,"Sports,Traditional,Team,Ice Hockey,Sim,Sim"
NHL 2001,NHL,PC,2000-09-28,2000,0,2000,Sports,Tier 1,22,90,47,7,EASports,,"Sports,Traditional,Team,Ice Hockey,Sim,Sim"
NHL 2002,NHL,PC,2001-09-17,2001,1,2000,Sports,Tier 2,12,87,45,8,EASports,,"Sports,Traditional,Team,Ice Hockey,Sim,Sim"
NHL 2003,NHL,PC,2002-09-30,2002,2,2000,Sports,Tier 3,12,75,17,7,EASports,,"Sports,Traditional,Team,Ice Hockey,Sim,Sim"
NHL 2004,NHL,PC,2003-09-22,2003,3,2000,Sports,Tier 2,12,87,54,8,EASports,,"Sports,Traditional,Team,Ice Hockey,Sim,Sim"
NHL 2005,NHL,PC,2004-09-14,2004,4,2000,Sports,Tier 4,11,66,36,5,EASports,,"Sports,Traditional,Team,Ice Hockey,Sim,Sim"
NHL Eastside Hockey Manager,NHL,PC,2004-10-19,2004,4,2000,Sports,Tier 3,7,77,10,7,SportsInteractive,,"Sports,Traditional,Team,Ice Hockey,Management,Sim"
NHL Eastside Hockey Manager 2005,NHL,PC,2005-10-05,2005,5,2000,Sports,Tier 2,10,82,7,7,SportsInteractive,,"Sports,Traditional,Team,Ice Hockey,Management,Sim"
Ni no Kuni II: Revenant Kingdom,Ni no Kuni,PC,2018-03-23,2018,5,2013,Role-Play,Tier 2,22,81,329,7,Level5,,"Role-Playing,Japanese-Style"
Ni no Kuni: Wrath of the White Witch,Ni no Kuni,Switch,2019-09-20,2019,6,2013,Role-Play,Tier 2,23,84,92,8,"Level5,EngineSoftware",,"Role-Playing,Japanese-Style"
