name,platform,r-date,score,user score,developer,genre,players,critics,users
Viewtiful Joe,GameCube,7-Oct-03,93,8.3,CloverStudio,"Action,Beat-'Em-Up",1 Player,52,138
Test Drive Le Mans,Dreamcast,13-Nov-00,93,8.2,MelbourneHouse,"Driving,Racing,GT / Street",No info,18,21
NBA 2K1,Dreamcast,1-Nov-00,93,7.1,VisualConcepts,"Sports,Traditional,Basketball,Sim",No info,19,19
Castlevania: Symphony of the Night,PlayStation,2-Oct-97,93,9.2,Konami,"Action,Platformer,2D",1 Player,12,664
Star Wars: Knights of the Old Republic,PC,18-Nov-03,93,9,BioWare,"Role-Playing,Third-Person,Third-Person,General",No Online Multiplayer,33,2007
Virtua Fighter 4: Evolution,PlayStation2,13-Aug-03,93,8.6,Sega,"Action,Fighting,3D",2-Jan,30,65
Uncharted 4: A Thief's End,PlayStation4,10-May-16,93,8.5,NaughtyDog,"General,Modern,Action Adventure,Linear",Up to 10 ,113,12333
Super Smash Bros. Ultimate,Switch,7-Dec-18,93,8.6,"Nintendo,HALLabs,BandaiNamcoGames,SoraLtd.","Action,Fighting,2D",Up to 8 ,99,2819
Braid,PlayStation3,12-Nov-09,93,7.8,"HotheadGames,NumberNoneInc.","Action,Platformer,Platformer,2D,2D",1 Player,20,234
Mass Effect 3,PlayStation3,5-Mar-12,93,5.7,BioWare,"Role-Playing,Action RPG,Action RPG",Up to 4 ,30,1942
Paper Mario,Nintendo64,5-Feb-01,93,9.1,IntelligentSystems,"Role-Playing,Console-style RPG",No info,15,420
Wipeout XL,PlayStation,30-Sep-96,93,8.6,Psygnosis,"Driving,Racing,Futuristic",2-Jan,8,40
Grand Theft Auto: San Andreas,Xbox,7-Jun-05,93,8.7,RockstarNorth,"Action Adventure,Modern",2-Jan,58,165
Resident Evil 2,XboxOne,25-Jan-19,93,8.6,CapcomR&DDivision1,"Action Adventure,Survival",No Online Multiplayer,27,896
INSIDE,XboxOne,29-Jun-16,93,8.3,PLAYDEAD,"Action,Platformer,2D",No info,87,662
World of Warcraft,PC,23-Nov-04,93,7.4,BlizzardEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",Massively Multiplayer,57,2934
Grand Theft Auto: San Andreas,PC,7-Jun-05,93,8.9,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",No Online Multiplayer,47,3074
Flipnote Studio,DS,12-Aug-09,93,7.5,Nintendo,"Miscellaneous,General,Application",No info,7,62
World Soccer Winning Eleven 7 International,PlayStation2,17-Feb-04,93,8.3,KCET,"Sports,Traditional,Soccer,Sim",8-Jan,28,57
NBA 2K2,Dreamcast,24-Oct-01,93,7.3,VisualConcepts,"Sports,Traditional,Basketball,Sim",No info,12,22
SoulCalibur II,PlayStation2,27-Aug-03,92,8.7,Namco,"Action,Fighting,3D",2-Jan,41,161
The Elder Scrolls V: Skyrim,PlayStation3,11-Nov-11,92,6.6,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,16,2704
Hades,PC,17-Sep-20,92,9,SupergiantGames,"Action Adventure,General,Linear",No Online Multiplayer,50,335
Prince of Persia: The Sands of Time,Xbox,12-Nov-03,92,7.8,Ubisoft,"Action Adventure,Fantasy",1 Player,41,87
